Component,g/L,reaction,lb,ub
-1.0 benzo[a]pyrene <-->,0,HMR_7108,0,1000
-1.0 naphthalene <-->,0,HMR_7110,0,1000
-1.0 aflatoxin B1 <-->,0,HMR_7112,0,1000
-1.0 trichloroethene <-->,0,HMR_7114,0,1000
-1.0 bromobenzene <-->,0,HMR_7116,0,1000
"-1.0 7,12-dimethylbenz[a]anthracene <-->",0,HMR_7118,0,1000
-1.0 4-(n-nitrosomethylamino)-1-(3-pyridyl)-1-butanone <-->,0,HMR_7120,0,1000
-1.0 1-nitronaphthalene <-->,0,HMR_7122,0,1000
"-1.0 1,1-dichloroethylene <-->",0,HMR_7124,0,1000
"-1.0 1,2-dibromoethane <-->",0,HMR_7126,0,1000
-1.0 TAG-extraction <-->,0,HMR_9023,0,1000
-1.0 chylomicron <-->,0,HMR_9024,0,1000
-1.0 SMCFA-blood-pool <-->,0,HMR_9032,0,1000
-1.0 propanoate <-->,0,HMR_9808,0,1000
-1.0 butyrate <-->,0,HMR_9809,0,1000
-1.0 valeric acid <-->,0,HMR_9810,0,1000
-1.0 hexanoic acid <-->,0,HMR_9811,0,1000
-1.0 heptylic acid <-->,0,HMR_9812,0,1000
-1.0 octanoic acid <-->,0,HMR_9813,0,1000
-1.0 nonanoic acid <-->,0,HMR_9814,0,1000
-1.0 decanoic acid <-->,0,HMR_9815,0,1000
-1.0 undecylic acid <-->,0,HMR_9816,0,1000
-1.0 NEFA blood pool in <-->,0,HMR_9033,0,1000
-1.0 glucose <-->,3.151,HMR_9034,-3.151,1000
-1.0 linoleate <-->,4.20E-05,HMR_9035,-4.20E-05,1000
-1.0 linolenate <-->,0,HMR_9036,0,1000
-1.0 phytanic acid <-->,0,HMR_9037,0,1000
-1.0 histidine <-->,0.03148,HMR_9038,-0.03148,1000
-1.0 isoleucine <-->,0.05447,HMR_9039,-0.05447,1000
-1.0 leucine <-->,0.05905,HMR_9040,-0.05905,1000
-1.0 lysine <-->,0.09125,HMR_9041,-0.09125,1000
-1.0 methionine <-->,0.01724,HMR_9042,-0.01724,1000
-1.0 phenylalanine <-->,0.03548,HMR_9043,-0.03548,1000
-1.0 threonine <-->,0.05345,HMR_9044,-0.05345,1000
-1.0 tryptophan <-->,0.00902,HMR_9045,-0.00902,1000
-1.0 valine <-->,0.05285,HMR_9046,-0.05285,1000
-1.0 H2O <-->,0,HMR_9047,0,1000
-1.0 O2 <-->,0,HMR_9048,0,1000
-1.0 VLDL <-->,0,HMR_9049,0,1000
-1.0 HDL <-->,0,HMR_9050,0,1000
-1.0 LDL <-->,0,HMR_9051,0,1000
-1.0 chylomicron remnant <-->,0,HMR_9052,0,1000
-1.0 VLDL remnant <-->,0,HMR_9053,0,1000
-1.0 HDL remnant <-->,0,HMR_9054,0,1000
-1.0 LDL remnant <-->,0,HMR_9055,0,1000
-1.0 NEFA blood pool out <-->,0,HMR_9056,0,1000
-1.0 CO2 <-->,0,HMR_9058,0,1000
-1.0 alanine <-->,0.00445,HMR_9061,-0.00445,1000
-1.0 asparagine <-->,0.0075,HMR_9062,-0.0075,1000
-1.0 glutamine <-->,0.365,HMR_9063,-0.365,1000
-1.0 tyrosine <-->,0.05579,HMR_9064,-0.05579,1000
-1.0 cysteine <-->,0.03129,HMR_9065,-0.03129,1000
-1.0 arginine <-->,0.1475,HMR_9066,-0.1475,1000
-1.0 glycine <-->,0.01875,HMR_9067,-0.01875,1000
-1.0 proline <-->,0.01725,HMR_9068,-0.01725,1000
-1.0 serine <-->,0.02625,HMR_9069,-0.02625,1000
-1.0 aspartate <-->,0.00665,HMR_9070,-0.00665,1000
-1.0 glutamate <-->,0.00735,HMR_9071,-0.00735,1000
-1.0 Pi <-->,0,HMR_9072,0,1000
-1.0 NH3 <-->,0,HMR_9073,0,1000
-1.0 sulfate <-->,0,HMR_9074,0,1000
-1.0 urate <-->,0,HMR_9075,0,1000
-1.0 Fe2+ <-->,0,HMR_9076,0,1000
-1.0 Na+ <-->,0,HMR_9077,0,1000
-1.0 HCO3- <-->,0,HMR_9078,0,1000
-1.0 H+ <-->,0,HMR_9079,0,1000
-1.0 zinc <-->,0,HMR_9080,0,1000
-1.0 K+ <-->,0,HMR_9081,0,1000
-1.0 Ca2+ <-->,0,HMR_9082,0,1000
-1.0 choline <-->,0.00898,HMR_9083,-0.00898,1000
-1.0 ethanolamine <-->,0,HMR_9084,0,1000
-1.0 glycerol <-->,0,HMR_9085,0,1000
-1.0 acetate <-->,0,HMR_9086,0,1000
-1.0 ornithine <-->,0,HMR_9087,0,1000
