Reaction_ID,lb,ub
HMR_3907,0,7.614194504
HMR_4097,0,5.669026766
HMR_4108,0,5.669026766
HMR_4133,0,5.669026766
HMR_4360,0,2.361768359
HMR_4372,0,4.409390936
HMR_7747,0,4.951867504
HMR_8360,0,4.274261661
HMR_8757,0,2.114367025
HMR_5397,0,5.437960088
HMR_5399,0,2.250961574
HMR_5400,0,2.250961574
HMR_8592,0,5.426264755
HMR_8589,0,5.426264755
HMR_8583,0,0.150559677
HMR_8584,0,0
HMR_8585,0,2.435628594
HMR_3944,0,5.705425039
HMR_4132,0,3.991861931
HMR_8761,0,1.042644337
HMR_8764,0,0.028569152
HMR_8767,0,3.991861931
HMR_4310,0,1.042644337
HMR_4399,0,3.349082146
HMR_4400,0,6.377644358
HMR_8768,0,6.377644358
HMR_4590,0,5.271276259
HMR_4593,0,4.263785614
HMR_4594,0,0.757023247
HMR_8726,0,3.129283017
HMR_8727,0,5.247168
HMR_8729,0,5.873567152
HMR_4093,0,0.042644337
HMR_4095,0,0.042644337
HMR_4101,0,0.22650853
HMR_4103,0,4.548436625
HMR_4143,0,4.264536431
HMR_8498,0,2.114367025
HMR_8499,0,2.114367025
HMR_8501,0,6.371210343
HMR_8516,0,3.204766751
HMR_4105,0,0.807354922
HMR_4106,0,0.807354922
HMR_4107,0,0.807354922
HMR_4282,0,2.503348735
HMR_4741,0,3.017921908
HMR_0718,0,2.488000771
HMR_0719,0,6.899054756
HMR_1436,0,4.061776198
HMR_4604,0,6.349436052
HMR_4304,0,5.585563498
HMR_4473,0,5.760220946
HMR_4474,0,5.760220946
HMR_4168,0,4.655351829
HMR_4406,0,5.019257119
HMR_4518,0,5.484138131
HMR_4519,0,2.232660757
HMR_4520,0,2.232660757
HMR_4600,0,6.394376945
HMR_4646,0,2.232660757
HMR_4648,0,2.232660757
HMR_4649,0,2.232660757
HMR_4650,0,2.232660757
HMR_4664,0,5.63778411
HMR_4799,0,5.90303827
HMR_4802,0,5.90303827
HMR_4808,0,4.181897643
HMR_4810,0,6.363696745
HMR_6601,0,0.014355293
HMR_8755,0,2.232660757
HMR_4211,0,4.655351829
HMR_4343,0,2.63691458
HMR_4470,0,2.883620816
HMR_4471,0,2.883620816
HMR_4472,0,2.883620816
HMR_4513,0,4
HMR_4736,0,0.23878686
HMR_4819,0,0.411426246
HMR_6623,0,4.891905188
HMR_6624,0,3.106013238
HMR_3965,0,6.10706011
HMR_3966,0,4.655351829
HMR_4054,0,4.891905188
HMR_4483,0,3.106013238
HMR_4507,0,5.904724928
HMR_4516,0,4.995936704
HMR_4601,0,6.394376945
HMR_4633,0,3.283921772
HMR_4641,0,4.891905188
HMR_4806,0,5.90303827
HMR_6625,0,3.106013238
HMR_7879,0,4.655351829
HMR_7880,0,4.528571319
HMR_8446,0,0.722466024
HMR_8473,0,3.283921772
HMR_8480,0,0.722466024
HMR_8483,0,6.10706011
HMR_8488,0,4.655351829
HMR_8489,0,4.655351829
HMR_8493,0,2.748461233
HMR_8494,0,2.748461233
HMR_8495,0,2.748461233
HMR_3811,0,5.015247774
HMR_3822,0,1.189033824
HMR_3831,0,5.838447593
HMR_3865,0,6.05853297
HMR_3870,0,5.665335917
HMR_3873,0,0.584962501
HMR_8654,0,0.584962501
HMR_3892,0,9.184404283
HMR_9802,0,1.350497247
HMR_3903,0,5.50589093
HMR_4114,0,4.99095486
HMR_4115,0,4.99095486
HMR_4118,0,5.665335917
HMR_4196,0,3.825785627
HMR_4287,0,10.06204614
HMR_7641,0,0.50589093
HMR_8626,0,1.438292852
HMR_3895,0,6.38024459
HMR_3897,0,6.38024459
HMR_4073,0,5.701271802
HMR_4075,0,6.392832579
HMR_4191,0,2.160274831
HMR_4212,0,3.531069493
HMR_4422,0,3.531069493
HMR_4424,0,0.310340121
HMR_4606,0,0.250961574
HMR_4784,0,1.189033824
HMR_4785,0,1.189033824
HMR_4787,0,2.198494154
HMR_5384,0,4.361066489
HMR_8098,0,6.05853297
HMR_8416,0,0.565597176
HMR_8432,0,0.111031312
HMR_8608,0,0.028569152
HMR_8610,0,0.028569152
HMR_0457,0,1.232660757
HMR_0460,0,1.232660757
HMR_3852,0,3.382667253
HMR_3856,0,6.371210343
HMR_3901,0,0.286881148
HMR_4198,0,0.070389328
HMR_4466,0,5.584060534
HMR_4467,0,0.070389328
HMR_4696,0,0.321928095
HMR_4697,0,5.553667688
HMR_4698,0,5.553667688
HMR_4789,0,0.028569152
HMR_4791,0,0.070389328
HMR_5392,0,4.527320608
HMR_5393,0,5.677790101
HMR_8439,0,0.475084883
HMR_8440,0,5.553667688
HMR_8441,0,0.321928095
HMR_9486,0,0.695993813
HMR_4429,0,4.194559886
HMR_4437,0,0.310340121
HMR_4660,0,0.286881148
HMR_4712,0,0.014355293
HMR_4288,0,2.742006211
HMR_4668,0,2.742006211
HMR_4737,0,5.553667688
HMR_4739,0,5.553667688
HMR_6415,0,6.186659017
HMR_6985,0,5.809157165
HMR_8021,0,0.773996325
HMR_8091,0,0.485426827
HMR_4681,0,0.485426827
HMR_4703,0,3.735522177
HMR_4704,0,3.735522177
HMR_6988,0,0.124328135
HMR_8094,0,4.408711861
HMR_8533,0,0
HMR_8537,0,0.378511623
HMR_8541,0,0
HMR_8542,0,0
HMR_8543,0,0.124328135
HMR_8544,0,0.124328135
HMR_8630,0,0
HMR_9734,0,0
HMR_3211,0,3.827819025
HMR_3213,0,5.28798935
HMR_3215,0,3.904965719
HMR_3747,0,3.94204526
HMR_3744,0,5.108942569
HMR_3761,0,2.503348735
HMR_3777,0,3.94204526
HMR_3778,0,5.108942569
HMR_3795,0,2.503348735
HMR_6420,0,2.671293372
HMR_6422,0,2.671293372
HMR_6923,0,3.94204526
HMR_3765,0,5.108942569
HMR_8787,0,0.807354922
HMR_3940,0,0.028569152
HMR_4216,0,5.355439197
HMR_4218,0,3.786596362
HMR_4219,0,5.355439197
HMR_4224,0,3.786596362
HMR_4225,0,3.786596362
HMR_4227,0,4.274261661
HMR_4231,0,0.286881148
HMR_4242,0,3.10433666
HMR_4243,0,3.10433666
HMR_6707,0,0.485426827
HMR_6711,0,0.042644337
HMR_6717,0,5.355439197
HMR_6718,0,0.485426827
HMR_6726,0,0.176322773
HMR_6727,0,9.839628974
HMR_6728,0,0.378511623
HMR_6729,0,0
HMR_6731,0,0.485426827
HMR_6740,0,0.485426827
HMR_6741,0,0
HMR_6743,0,0.201633861
HMR_6770,0,4.624685811
HMR_6771,0,9.839628974
HMR_6772,0,0.176322773
HMR_6774,0,3.544732656
HMR_6776,0,3.195347598
HMR_6778,0,5.602290585
HMR_6787,0,0.485426827
HMR_6803,0,0
HMR_6831,0,1.963474124
HMR_6839,0,1.963474124
HMR_6845,0,1.963474124
HMR_6851,0,1.963474124
HMR_6874,0,0
HMR_6888,0,0.22650853
HMR_7756,0,0.50589093
HMR_8539,0,0.028569152
HMR_8796,0,0
HMR_3879,0,4.740387932
HMR_3881,0,3.658782734
HMR_3917,0,3.821710215
HMR_4189,0,2.700439718
HMR_4302,0,3.658782734
HMR_4323,0,4.740387932
HMR_5381,0,4.408711861
HMR_5385,0,5.152589069
HMR_5386,0,4.42693562
